2019/04/18 14:27:00, /datalist, GET, Mozilla/5.0 (Macintosh; Intel Mac OS X 10_14_4) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/12.1 Safari/605.1.15, 133.60.112.171, 133.60.112.171, 
2019/04/18 14:37:06, /datalist, GET, vending_machine_map_ios/1 CFNetwork/978.0.7 Darwin/18.5.0, 133.60.216.207, 133.60.216.207, 
2019/04/18 14:38:31, /datalist, GET, vending_machine_map_ios/1 CFNetwork/978.0.7 Darwin/18.5.0, 133.60.216.207, 133.60.216.207, 
2019/04/18 14:42:30, /datalist, GET, vending_machine_map_ios/1 CFNetwork/978.0.7 Darwin/18.5.0, 133.60.216.207, 133.60.216.207, 
2019/04/18 15:08:29, /datalist.php, GET, Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/73.0.3683.103 Safari/537.36, 133.60.112.171, 133.60.112.171, 
2019/04/18 15:12:39, /datalist.php, GET, Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/73.0.3683.103 Safari/537.36, 133.60.112.171, 133.60.112.171, 
2019/04/18 15:14:16, /datalist, GET, vending_machine_map_ios/1 CFNetwork/978.0.7 Darwin/18.5.0, 133.60.225.83, 133.60.225.83, 
2019/04/18 15:15:07, /datalist, GET, vending_machine_map_ios/1 CFNetwork/978.0.7 Darwin/18.5.0, 133.60.225.83, 133.60.225.83, 
2019/04/18 15:59:51, /datalist, GET, vending_machine_map_ios/1 CFNetwork/978.0.7 Darwin/18.5.0, 133.60.112.171, 133.60.112.171, 
2019/04/18 16:02:14, /datalist, GET, vending_machine_map_ios/1 CFNetwork/978.0.7 Darwin/18.5.0, 133.60.112.171, 133.60.112.171, 
2019/04/18 16:02:49, /datalist, GET, vending_machine_map_ios/1 CFNetwork/978.0.7 Darwin/18.5.0, 133.60.112.171, 133.60.112.171, 
2019/04/19 13:57:21, /datalist, GET, vending_machine_map_ios/1 CFNetwork/978.0.7 Darwin/18.5.0, 133.60.112.171, 133.60.112.171, 
2019/04/19 13:58:06, /datalist, GET, vending_machine_map_ios/1 CFNetwork/978.0.7 Darwin/18.5.0, 133.60.112.171, 133.60.112.171, 
2019/04/19 13:59:57, /datalist, GET, vending_machine_map_ios/1 CFNetwork/978.0.7 Darwin/18.5.0, 133.60.112.171, 133.60.112.171, 
2019/04/19 14:05:51, /datalist, GET, vending_machine_map_ios/1 CFNetwork/978.0.7 Darwin/18.5.0, 133.60.112.171, 133.60.112.171, 
2019/04/19 14:37:20, /datalist, GET, Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:66.0) Gecko/20100101 Firefox/66.0, 133.60.112.185, 133.60.112.185, 
2019/04/19 14:46:41, /datalist, GET, vending_machine_map_ios/1 CFNetwork/978.0.7 Darwin/18.5.0, 133.60.112.171, 133.60.112.171, 
2019/04/19 14:47:29, /datalist, GET, vending_machine_map_ios/1 CFNetwork/978.0.7 Darwin/18.5.0, 133.60.112.171, 133.60.112.171, 
2019/04/19 14:49:19, /datalist, GET, vending_machine_map_ios/1 CFNetwork/978.0.7 Darwin/18.5.0, 133.60.112.171, 133.60.112.171, 
